date,new-cases,tweet
Aug24,1,https://twitter.com/RenscoExecutive/status/1298004050911297536
Aug25,1,https://twitter.com/RenscoExecutive/status/1298354402172993536
Aug26,3,https://twitter.com/RenscoExecutive/status/1298723501877022724
Aug27,2,https://twitter.com/RenscoExecutive/status/1299079233109733381
Aug28,3,https://twitter.com/RenscoExecutive/status/1299433369009348614
Aug29,0,
Aug30,0,
Aug31,4,https://twitter.com/RenscoExecutive/status/1300534211988926465
Sep01,2,https://twitter.com/RenscoExecutive/status/1300868028167524352
Sep02,0,https://twitter.com/RenscoExecutive/status/1301243888703856641
Sep03,0,
Sep04,6,https://twitter.com/RenscoExecutive/status/1301978720366989312
